status;duration;credit_history;purpose;amount;credit_risk
balance at least 200 Euro or salary for at least 1 year;30;no credits taken or all credits paid back duly;furniture/equipment;4666;good credit risk
balance at least 200 Euro or salary for at least 1 year;28;critical account or other credits elsewhere;car (new);15648;good credit risk
balance between 0 and 200 Euro;18;critical account or other credits elsewhere;furniture/equipment;2890;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (used);15442;good credit risk
no checking account;21;no credits taken or all credits paid back duly;others;7526;good credit risk
balance less than 0 Euro;18;no credits taken or all credits paid back duly;retraining;8878;good credit risk
no checking account;12;no credits taken or all credits paid back duly;furniture/equipment;2214;good credit risk
balance less than 0 Euro;15;no credits taken or all credits paid back duly;furniture/equipment;2888;good credit risk
balance less than 0 Euro;48;critical account or other credits elsewhere;others;24338;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;furniture/equipment;5506;good credit risk
balance between 0 and 200 Euro;4;no credits taken or all credits paid back duly;others;2988;good credit risk
no checking account;24;critical account or other credits elsewhere;car (used);5656;good credit risk
no checking account;24;critical account or other credits elsewhere;car (used);4966;good credit risk
balance between 0 and 200 Euro;6;all credits at this bank paid back duly;others;2598;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;others;3098;good credit risk
balance between 0 and 200 Euro;10;no credits taken or all credits paid back duly;others;7898;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;car (new);5802;good credit risk
balance between 0 and 200 Euro;6;no credits taken or all credits paid back duly;others;1418;good credit risk
no checking account;47;no credits taken or all credits paid back duly;others;21444;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;2574;good credit risk
no checking account;18;critical account or other credits elsewhere;furniture/equipment;3880;good credit risk
balance between 0 and 200 Euro;30;all credits at this bank paid back duly;furniture/equipment;7312;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;existing credits paid back duly till now;car (new);9358;good credit risk
balance at least 200 Euro or salary for at least 1 year;27;existing credits paid back duly till now;car (new);17226;good credit risk
no checking account;18;no credits taken or all credits paid back duly;car (used);5318;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;3032;good credit risk
no checking account;18;no credits taken or all credits paid back duly;others;8760;good credit risk
balance at least 200 Euro or salary for at least 1 year;14;existing credits paid back duly till now;others;1604;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;retraining;3144;good credit risk
balance less than 0 Euro;48;critical account or other credits elsewhere;retraining;7132;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;2556;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;delay in paying off in the past;furniture/equipment;852;good credit risk
balance at least 200 Euro or salary for at least 1 year;39;no credits taken or all credits paid back duly;car (new);17176;good credit risk
no checking account;30;no credits taken or all credits paid back duly;car (new);7714;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;others;1370;bad credit risk
no checking account;24;no credits taken or all credits paid back duly;furniture/equipment;3206;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (used);4482;good credit risk
no checking account;24;no credits taken or all credits paid back duly;furniture/equipment;4768;good credit risk
balance at least 200 Euro or salary for at least 1 year;4;no credits taken or all credits paid back duly;car (used);1202;good credit risk
balance at least 200 Euro or salary for at least 1 year;39;no credits taken or all credits paid back duly;car (new);5138;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;furniture/equipment;2632;good credit risk
balance at least 200 Euro or salary for at least 1 year;60;no credits taken or all credits paid back duly;others;20732;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;retraining;3136;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;1258;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;critical account or other credits elsewhere;furniture/equipment;3500;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);6976;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;3600;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;existing credits paid back duly till now;car (used);8302;good credit risk
balance less than 0 Euro;15;no credits taken or all credits paid back duly;domestic appliances;5262;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (new);10496;good credit risk
balance less than 0 Euro;18;existing credits paid back duly till now;others;5798;good credit risk
balance less than 0 Euro;18;existing credits paid back duly till now;domestic appliances;12408;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;1608;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture/equipment;7190;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;car (new);11422;good credit risk
balance between 0 and 200 Euro;15;no credits taken or all credits paid back duly;retraining;5374;good credit risk
no checking account;15;existing credits paid back duly till now;car (used);7286;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;all credits at this bank paid back duly;car (used);4292;good credit risk
no checking account;10;no credits taken or all credits paid back duly;furniture/equipment;4630;good credit risk
balance at least 200 Euro or salary for at least 1 year;5;no credits taken or all credits paid back duly;retraining;6896;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (used);5416;good credit risk
balance at least 200 Euro or salary for at least 1 year;11;all credits at this bank paid back duly;others;2786;good credit risk
balance between 0 and 200 Euro;10;no credits taken or all credits paid back duly;car (used);2550;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);2626;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;2986;good credit risk
balance at least 200 Euro or salary for at least 1 year;22;no credits taken or all credits paid back duly;furniture/equipment;5350;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;4236;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;others;1818;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);2516;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;critical account or other credits elsewhere;furniture/equipment;3138;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (new);2472;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;existing credits paid back duly till now;car (used);15356;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;domestic appliances;1320;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);5670;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);5340;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;critical account or other credits elsewhere;vacation;6894;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture/equipment;7136;good credit risk
balance less than 0 Euro;21;all credits at this bank paid back duly;retraining;7304;good credit risk
no checking account;24;no credits taken or all credits paid back duly;furniture/equipment;7320;good credit risk
balance between 0 and 200 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;2252;good credit risk
balance between 0 and 200 Euro;6;existing credits paid back duly till now;furniture/equipment;1366;good credit risk
balance between 0 and 200 Euro;12;no credits taken or all credits paid back duly;car (used);4502;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (new);9350;good credit risk
balance less than 0 Euro;21;existing credits paid back duly till now;others;4706;good credit risk
no checking account;21;no credits taken or all credits paid back duly;furniture/equipment;6714;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;others;1344;good credit risk
no checking account;6;all credits at this bank paid back duly;furniture/equipment;676;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;furniture/equipment;5394;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;others;5014;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;existing credits paid back duly till now;furniture/equipment;2956;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;7130;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (used);4442;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;furniture/equipment;3796;good credit risk
balance less than 0 Euro;6;existing credits paid back duly till now;retraining;2898;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;existing credits paid back duly till now;car (used);1920;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;car (new);16266;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);4602;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;existing credits paid back duly till now;retraining;3486;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;car (used);1966;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;existing credits paid back duly till now;furniture/equipment;4640;good credit risk
no checking account;12;critical account or other credits elsewhere;vacation;678;good credit risk
balance between 0 and 200 Euro;24;no credits taken or all credits paid back duly;furniture/equipment;10304;good credit risk
balance between 0 and 200 Euro;24;no credits taken or all credits paid back duly;car (used);7498;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;all credits at this bank paid back duly;furniture/equipment;6148;good credit risk
balance between 0 and 200 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;1490;bad credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;2938;good credit risk
no checking account;6;no credits taken or all credits paid back duly;car (used);2748;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;critical account or other credits elsewhere;others;1566;good credit risk
no checking account;21;no credits taken or all credits paid back duly;furniture/equipment;5212;good credit risk
balance at least 200 Euro or salary for at least 1 year;54;delay in paying off in the past;car (new);18872;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;furniture/equipment;1860;good credit risk
balance at least 200 Euro or salary for at least 1 year;48;all credits at this bank paid back duly;car (new);5502;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;others;500;good credit risk
balance less than 0 Euro;24;no credits taken or all credits paid back duly;others;2402;good credit risk
no checking account;6;no credits taken or all credits paid back duly;others;1324;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (new);2600;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;critical account or other credits elsewhere;retraining;3118;good credit risk
balance between 0 and 200 Euro;12;no credits taken or all credits paid back duly;furniture/equipment;6032;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;furniture/equipment;2720;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;delay in paying off in the past;others;2408;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;3194;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;4146;good credit risk
balance at least 200 Euro or salary for at least 1 year;11;no credits taken or all credits paid back duly;retraining;4284;good credit risk
no checking account;10;all credits at this bank paid back duly;car (used);4264;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;3092;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;others;2574;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;2836;good credit risk
balance between 0 and 200 Euro;6;all credits at this bank paid back duly;others;2686;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;others;5324;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;12140;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;repairs;3854;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;4808;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;furniture/equipment;3108;good credit risk
balance at least 200 Euro or salary for at least 1 year;22;no credits taken or all credits paid back duly;others;2566;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;existing credits paid back duly till now;others;1434;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (used);3494;good credit risk
no checking account;9;all credits at this bank paid back duly;domestic appliances;2576;good credit risk
no checking account;10;all credits at this bank paid back duly;others;2076;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;car (new);5696;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (new);2826;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;all credits at this bank paid back duly;furniture/equipment;6154;good credit risk
no checking account;24;critical account or other credits elsewhere;car (new);7264;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;car (new);6458;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;others;7154;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;others;1364;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;furniture/equipment;3848;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;repairs;1454;good credit risk
balance between 0 and 200 Euro;10;all credits at this bank paid back duly;others;1562;good credit risk
no checking account;12;all credits at this bank paid back duly;others;4242;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;1402;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;all credits at this bank paid back duly;car (used);4138;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;3050;good credit risk
balance at least 200 Euro or salary for at least 1 year;48;all credits at this bank paid back duly;retraining;15258;good credit risk
no checking account;12;all credits at this bank paid back duly;others;6998;bad credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;furniture/equipment;2692;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;car (new);20954;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (new);5848;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;all credits at this bank paid back duly;others;2462;good credit risk
balance between 0 and 200 Euro;18;no credits taken or all credits paid back duly;others;3922;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;others;10090;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;others;2510;good credit risk
no checking account;12;no credits taken or all credits paid back duly;car (used);3716;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;car (used);2442;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);2776;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;4558;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;delay in paying off in the past;car (used);5518;good credit risk
balance between 0 and 200 Euro;24;no credits taken or all credits paid back duly;furniture/equipment;2516;good credit risk
balance less than 0 Euro;12;delay in paying off in the past;vacation;2820;good credit risk
no checking account;15;no credits taken or all credits paid back duly;others;2806;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (used);6042;good credit risk
no checking account;24;no credits taken or all credits paid back duly;retraining;13136;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;5156;good credit risk
balance less than 0 Euro;24;all credits at this bank paid back duly;car (new);15516;good credit risk
no checking account;6;no credits taken or all credits paid back duly;radio/television;686;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;existing credits paid back duly till now;car (used);3182;good credit risk
no checking account;27;no credits taken or all credits paid back duly;furniture/equipment;6832;good credit risk
no checking account;12;delay in paying off in the past;domestic appliances;2216;bad credit risk
balance less than 0 Euro;27;existing credits paid back duly till now;car (new);11930;good credit risk
balance less than 0 Euro;15;no credits taken or all credits paid back duly;domestic appliances;3028;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;all credits at this bank paid back duly;furniture/equipment;13484;good credit risk
no checking account;18;no credits taken or all credits paid back duly;car (used);7300;good credit risk
no checking account;21;no credits taken or all credits paid back duly;car (used);7198;good credit risk
balance at least 200 Euro or salary for at least 1 year;60;all credits at this bank paid back duly;others;27512;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;others;552;good credit risk
balance at least 200 Euro or salary for at least 1 year;42;all credits at this bank paid back duly;car (used);8082;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;916;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;car (used);1836;bad credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;14786;good credit risk
balance between 0 and 200 Euro;10;no credits taken or all credits paid back duly;radio/television;2450;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (new);5624;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (new);6058;good credit risk
balance between 0 and 200 Euro;12;all credits at this bank paid back duly;others;2960;good credit risk
balance between 0 and 200 Euro;6;all credits at this bank paid back duly;repairs;2094;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;furniture/equipment;2942;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);11022;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;2412;good credit risk
balance less than 0 Euro;24;existing credits paid back duly till now;furniture/equipment;12806;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;1414;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;existing credits paid back duly till now;car (new);3006;good credit risk